id;background;icon;nama;harga;deskripsi ;star;navigate
1;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/October2019/BFcnGCUwrw4CxkxDkahi.png;Fish Fillet Burger;28100;Daging ikan pilihan, dengan saus tartar dan keju istimewa dalam setangkup roti lembut kukus;5;Fish
2;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2020/aeXjsnlSHRqBxFdFOLZ0.png;Honey Garlic Fish Rice McD;5200;Nasi hangat dengan topping daging ikan disajikan dengNasi hangat dengan topping daging ikan disajikan dengan saus honey garlican saus honey garlic;5;Fish
3;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/BsbcEMEILr5T4jlvqoDb.png;"
Rica-rica Fish Rice McD";16800;"Saus rica-rica pedas di atas nasi hangat dan daging ikan yang digoreng sempurna.
";5;Fish
4;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/November2020/TU6Is0qz7YSGE1QI1f49.png;PaNas Spesial Thai Sweet Chili Sauce;28100;Ayam Goreng khas McDonald's yang gurih dan renyah dibalur dengan saus Thai Sweet Chili yang pedas manis. Disajikan dengan nasi hangat dan telur. Tersedia dalam pilihan Ayam Krispy atau Spicy;5;Chicken
5;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/fTkXy7ji77MIZZnMAemm.png;Ayam Spicy McDonald's;5200;Ayam goreng khas McDonald's dengan bumbu pedas, rasakan sensasi pedas pada kulit yang renyah hingga daging ayam yang lembut dan gurih. Tersedia dalam pilihan A la Carte, PaNas 1, PaNas 2, Panas 2 with Fries, PaMer 5, PaMer 7;5;Chicken
6;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/November2020/wFAD5ymhOsO5OFiw42uu.png;PaNas 1 Thai Sweet Chili Sauce;16800;Ayam Goreng khas McDonald's yang gurih dan renyah dibalur dengan saus Thai Sweet Chili yang pedas manis. Tersedia dalam pilihan Ayam Krispy atau Spicy;4;Chicken
7;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/November2020/KkDITZSulsJgqFyeO7zp.png;PaNas 2 with Fries Thai Sweet Chili Sauce;52999;"Dua potong Ayam Goreng khas McDonald's yang gurih dan renyah dibalur dengan saus Thai Sweet Chili yang pedas manis. Disajikan dengan Kentang Goreng khas McDonald's. Tersedia dalam pilihan Ayam Krispy atau Spicy
";3;Chicken
8;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/dBkLAEZ7PxkjdgarPMbz.png;PaNas 2 with Fries;36000;2 pcs Ayam Goreng khas McDonald's dengan kentang goreng dan minuman FruitTea lemon yang menyegarkan. Tersedia dalam pilihan Ayam Krispy atau Spicy;2;Chicken
9;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/September2019/6rqZSErwt3XKk2802YdV.png;Nasi Uduk Komplit McD;23500;Cita rasa lokal ala McDonald's dengan nasi berbumbu, ayam goreng Mcdonald's, telur dan sambal terasi;4;Chicken
10;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/September2019/h7mSn1k5DVghKMUMyyTT.png;Paket Go Gochujang Chicken McDonald's with Fries;165000;2 pcs Gochujang Chicken McDonald's dengan sensasi ayam ala Korea yang bercita rasa gurih pedas dengan kentang goreng renyah dan minuman FruitTea lemon yang menyegarkan;5;Chicken
11;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2020/70rczaWB3BmkIb2DiXby.png;Honey Garlic Chicken Rice McD;12500;Nasi hangat dengan topping daging ayam disajikan dengan saus honey garlic;5;Chicken
12;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/October2019/nhj93oZApoMavF1lC6Wm.png;Nasi Uduk McD Ayam Suwir;28100;Nasi uduk gurih dengan topping sambal terasi, scrambled egg, bawang goreng, kini makin lengkap dengan suwiran ayam goreng;5;Breakfast
13;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/6VJ2ueCTa01TMyXxBfVo.png;Bubur Ayam McD;5200;Bubur ayam klasik disajikan dengan seledri dan bawang goreng renyah;5;Breakfast
14;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/H5uo107Z3k8lUlhFKsM5.png;Hashbrown;16800;Potongan kentang gurih yang digoreng keemasan. tersedia jam 5-11 pagi;4;Breakfast
15;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/l8UZVpyERSD76zcQgWlq.png;Big Breakfast;52999;Perpaduan English Muffin panggang yang disajikan dengan sosis ayam gurih, renyahnya Hashbrown serta lembutnya scrambled egg. Tersedia dari jam 5-11 pagi.;3;Breakfast
16;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/NADVM6Oa9TNKytIGzKVT.png;Breakfast Wrap;36000;Paduan daging ayam asap, scrambled egg, dan keju gurih dalam balutan tortilla yang lembut;2;Breakfast
17;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/oOqk0inorO5YNcw5S2iG.png;Sausage Wrap;23500;Perpaduan sosis ayam, scrambled egg, dan keju gurih dalam balutan tortilla yang lembut. Tersedia dari jam 5-11 pagi.;4;Breakfast
